Ordem;Operação;Chave de controle;Centro de trabalho;Txt.breve operação;Quantidade operação (MEINH);Qtd.boa confirmada (MEINH);Refugo confirmado (MEINH);Confirmação atividade 2 (ILE02);Data início real de execução;Data fim real da execução
2750150;0022;ZP05;IB-REC01;REC. TERCEIRO;488;0;0;0,000;;
2750150;1000;ZP10;IB329900;QA/LOG/SCH;488;488;0;122;17/04/2024;21/04/2024
2750150;1001;ZP05;IB-CPL01;MAP-docs ADD, veja Procella (IT, PC,...);488;0;0;0,000;;
2769011;0021;ZP26;IB324511;APONTAMENTO WASTE - SFC;4.000;0;251;0,000;28/06/2024;28/06/2024
2769011;0001;ZP28;IB-ENV01;ENV. TERCEIRO;4.000;4.000;0;0,000;22/04/2024;22/04/2024
2769011;0002;ZP07;IB008860;AUSTEMPERA/REVENIMENTO;4.000;4.000;0;0,000;03/05/2024;03/05/2024
2769011;0003;ZP05;IB-REC01;REC. TERCEIRO;4.000;0;0;0,000;;
2769011;0020;ZP04;IB324511;RETIFICAR FACE;4.000;3.986;0;75,734;06/05/2024;18/06/2024
2769011;0030;ZP04;IB329109;RETIFICAR DIÂMETRO EXTERNO;4.000;3.983;3;127,904;06/05/2024;28/06/2024
2769011;0035;ZP05;IB-TXT01;OLEAR;4.000;0;0;0,000;;
2769011;0040;ZP01;IB324876;RETIFICAR DIÂMETRO INTERNO;4.000;3.911;72;1.598;06/05/2024;10/05/2024
2769011;0050;ZQ01;IB329131;RET/LAP PISTA;4.000;3.856;0;715;09/05/2024;11/05/2024
2769011;1000;ZP10;IB329900;QA/LOG/SCH;4.000;3.674;0;352,704;15/05/2024;23/05/2024
2769011;1001;ZP05;IB-CPL01;MAP-docs ADD, veja Procella (IT, PC,...);4.000;0;0;0,000;;
2779560;0031;ZP26;IB324511;APONTAMENTO WASTE - SFC;9.000;0;145;0,000;19/06/2024;19/06/2024
2779560;0010;ZP04;IB323525;TRATAMENTO TÉRMICO;9.000;8.996;0;26,988;29/04/2024;19/06/2024
2779560;0020;ZP04;IB023610;JATEAR;9.000;8.996;0;80,964;29/04/2024;19/06/2024
2779560;0030;ZP04;IB324511;RETIFICAR FACE;9.000;8.996;0;179,920;29/04/2024;19/06/2024
2779560;0040;ZP04;IB329109;RETIFICAR DIÂMETRO EXTERNO;9.000;8.988;8;296,736;26/04/2024;19/06/2024
2779560;0045;ZP05;IB-TXT01;OLEAR;9.000;0;0;0,000;;
2779560;0050;ZP01;IB324876;RETIFICAR DIÂMETRO INTERNO;9.000;8.956;32;2.482;29/04/2024;02/05/2024
2779560;0060;ZP28;IB-ENV01;ENV. TERCEIRO;9.000;8.907;0;0,000;30/04/2024;02/05/2024
2779560;0061;ZP07;IB008838;APLICAR CORROTECT / DESIDROGENAR KOES;9.000;8.907;0;0,000;01/05/2024;04/05/2024
2779560;0062;ZP05;IB-REC01;REC. TERCEIRO;9.000;0;0;0,000;;
2779560;0070;ZQ01;IB329131;RET/LAP PISTA;9.000;9.095;0;2.415;02/05/2024;08/05/2024
2779560;1000;ZP10;IB329900;QA/LOG/SCH;9.000;8.815;0;581,790;06/05/2024;14/06/2024
2779560;1001;ZP05;IB-CPL01;MAP-docs ADD, veja Procella (IT, PC,...);9.000;0;0;0,000;;
2779821;0031;ZP26;IB324511;APONTAMENTO WASTE - SFC;4.230;0;169;0,000;19/06/2024;19/06/2024
2779821;0010;ZP04;IB323525;TRATAMENTO TÉRMICO;4.230;4.228;0;25,368;02/05/2024;18/06/2024
2779821;0020;ZP04;IB023610;JATEAR;4.230;4.228;0;42,280;02/05/2024;18/06/2024
2779821;0030;ZP04;IB324511;RETIFICAR FACE;4.230;4.228;0;84,560;02/05/2024;18/06/2024
2779821;0040;ZP04;IB329109;RETIFICAR DIÂMETRO EXTERNO;4.230;4.223;5;139,425;29/04/2024;19/06/2024
2779821;0045;ZP05;IB-TXT01;OLEAR;4.230;0;0;0,000;;
2779821;0050;ZP01;IB324876;RETIFICAR DIÂMETRO INTERNO;4.230;4.207;16;1.056;02/05/2024;06/05/2024
2779821;0060;ZP28;IB-ENV01;ENV. TERCEIRO;4.230;4.148;0;0,000;03/05/2024;06/05/2024
2779821;0061;ZP07;IB008838;APLICAR CORROTECT / DESIDROGENAR KOES;4.230;4.148;0;0,000;08/05/2024;09/05/2024
2779821;0062;ZP05;IB-REC01;REC. TERCEIRO;4.230;0;0;0,000;;
2779821;0070;ZQ01;IB329131;RET/LAP PISTA;4.230;4.002;1;894;08/05/2024;10/05/2024
2779821;1000;ZP10;IB329900;QA/LOG/SCH;4.230;4.039;0;270,613;10/05/2024;13/06/2024
2779823;0031;ZP26;IB324511;APONTAMENTO WASTE - SFC;10.000;0;398;0,000;28/06/2024;28/06/2024
2779823;0010;ZP04;IB323525;TRATAMENTO TÉRMICO;10.000;9.854;0;9,854;09/05/2024;09/05/2024
2779823;0020;ZP04;IB023610;JATEAR;10.000;9.854;0;39,416;09/05/2024;09/05/2024
2779823;0030;ZP04;IB324511;RETIFICAR FACE;10.000;9.852;2;199,959;25/04/2024;28/06/2024
2779823;0040;ZP04;IB329109;RETIFICAR DIÂMETRO EXTERNO;10.000;9.836;16;329,397;08/05/2024;28/06/2024
2779823;0045;ZP05;IB-TXT01;OLEAR;10.000;0;0;0,000;;
2779823;0050;ZP01;IB324876;RETIFICAR DIÂMETRO INTERNO;10.000;9.761;75;2.506;09/05/2024;16/05/2024
2779823;0060;ZP28;IB-ENV01;ENV. TERCEIRO;10.000;9.653;0;0,000;09/05/2024;14/05/2024
2779823;0061;ZP07;IB008838;APLICAR CORROTECT / DESIDROGENAR KOES;10.000;9.653;0;0,000;11/05/2024;15/05/2024
2779823;0062;ZP05;IB-REC01;REC. TERCEIRO;10.000;0;0;0,000;;
2779823;0070;ZQ01;IB329131;RET/LAP PISTA;10.000;9.602;0;2.100;11/05/2024;20/05/2024
2779823;1000;ZP10;IB329900;QA/LOG/SCH;10.000;9.510;0;741,780;16/05/2024;25/06/2024
2779823;1001;ZP05;IB-CPL01;MAP-docs ADD, veja Procella (IT, PC,...);10.000;0;0;0,000;;
2779824;0031;ZP26;IB324511;APONTAMENTO WASTE - SFC;14.600;0;205;0,000;04/06/2024;04/06/2024
2779824;0010;ZP04;IB323525;TRATAMENTO TÉRMICO;14.600;14.602;0;233,632;02/05/2024;02/05/2024
2779824;0020;ZP04;IB023610;JATEAR;14.600;14.602;0;467,264;02/05/2024;02/05/2024
2779824;0030;ZP04;IB324511;RETIFICAR FACE;14.600;14.602;0;292,040;02/05/2024;02/05/2024
2779824;0040;ZP04;IB329109;RETIFICAR DIÂMETRO EXTERNO;14.600;14.602;0;554,876;02/05/2024;02/05/2024
2779824;0045;ZP05;IB-TXT01;OLEAR;14.600;0;0;0,000;;
2779824;0050;ZP01;IB324876;RETIFICAR DIÂMETRO INTERNO;14.600;14.567;35;3.328;02/05/2024;07/05/2024
2779824;0060;ZP28;IB-ENV01;ENV. TERCEIRO;14.600;14.739;0;0,000;03/05/2024;07/05/2024
2779824;0061;ZP07;IB008838;APLICAR CORROTECT / DESIDROGENAR KOES;14.600;14.739;0;0,000;04/05/2024;09/05/2024
2779824;0062;ZP05;IB-REC01;REC. TERCEIRO;14.600;0;0;0,000;;
2779824;0070;ZQ01;IB329111;RET/LAP PISTA;14.600;14.917;0;3.322;08/05/2024;16/05/2024
2779824;1000;ZP10;IB329900;QA/LOG/SCH;14.600;14.360;0;832,880;10/05/2024;17/05/2024
2779824;1001;ZP05;IB-CPL01;MAP-docs ADD, veja Procella (IT, PC,...);14.600;0;0;0,000;;
2784938;0010;ZP04;IB323525;TRATAMENTO TÉRMICO;5.000;4.983;0;54,813;30/04/2024;20/05/2024
2784938;0020;ZP04;IB023610;JATEAR;5.000;4.983;0;323,895;30/04/2024;20/05/2024
2784938;0030;ZQ04;IB324528;RETIFICAR FACE 1º PASSE;5.000;4.983;0;74,745;30/04/2024;20/05/2024
2784938;0040;ZP01;IB324528;RETIFICAR FACE 2º PASSE;5.000;4.975;8;349;30/04/2024;02/05/2024
2784938;0050;ZP04;IB329109;RETIFICAR DIÂMETRO EXTERNO;5.000;4.982;0;224,190;04/05/2024;20/05/2024
2784938;0055;ZP05;IB-TXT01;OLEAR;5.000;0;0;0,000;;
2784938;0060;ZP01;IB324876;RETIFICAR DIÂMETRO INTERNO;5.000;4.973;9;1.986;04/05/2024;08/05/2024
2784938;0070;ZP28;IB-REC01;ENV. TERCEIRO;5.000;4.973;0;0,000;06/05/2024;09/05/2024
2784938;0071;ZP07;IB008838;APLICAR CORROTECT / DESIDROGENAR KOES;5.000;4.973;0;0,000;07/05/2024;09/05/2024
2784938;0072;ZP05;IB-REC01;REC. TERCEIRO;5.000;0;0;0,000;;
2784938;0080;ZQ01;IB329179;RET/LAP PISTA;5.000;5.002;0;1.608;07/05/2024;09/05/2024
2784938;1000;ZP10;IB329900;QA/LOG/SCH;5.000;4.922;0;378,994;10/05/2024;10/05/2024
2784938;1001;ZP05;IB-CPL01;MAP-docs ADD, veja Procella (IT, PC,...);5.000;0;0;0,000;;
2785082;0031;ZP26;IB324010;APONTAMENTO WASTE - SFC;3.000;0;300;0,000;28/06/2024;28/06/2024
2785082;0005;ZP05;IB-TXT01;RECEBER DISCO ESTAMPADO (PLANTA 0053);3.000;0;0;0,000;;
2785082;0010;ZP28;IB-ENV01;ENV. TERCEIRO;3.000;3.000;0;0,000;22/04/2024;22/04/2024
2785082;0015;ZP07;IB008808;MOT-TORNEAR DURO USINAFER;3.000;3.000;0;0,000;06/05/2024;06/05/2024
2785082;0020;ZP05;IB-REC01;REC. TERCEIRO;3.000;0;0;0,000;;
2785082;0030;ZP04;IB324010;TAMBOREAR - ROESLER AXIAL (30 MIN/1CX);3.000;0;0;0;22/05/2024;22/05/2024
2785082;0040;ZP01;IB028510;LAVAR HOSEL (4CX/8MIN) - EMB. CTN;3.000;0;0;0,000;22/05/2024;22/05/2024
2785082;0050;ZP04;IB027410;"GRAVAR ""OUT"" 2XPOSIÇÕES 180°- EMB. CTN";3.000;2.700;0;172,800;22/05/2024;22/05/2024
2785082;0051;ZP05;IB-TXT01;GRAVAÇÃO OPOSTA AO CHANFRO INTERNO;3.000;0;0;0,000;;
2785082;0060;ZP04;IB329273;ESCOLHER VISUAL/ EMBALAR;3.000;2.700;0;143,100;22/05/2024;22/05/2024
2785082;0070;ZP05;IB-TXT01;CONTROLAR 100% NO PINO MINIMO;3.000;0;0;0,000;;
2785082;1000;ZP10;IB329900;QA/LOG/SCH;3.000;2.700;0;62,100;22/05/2024;22/05/2024
